1,,5,SARROU Jordan,,,1:25:37
2,,4,FLUECKIGER Mathias,,,+0:45
3,,11,CAROD Titouan,,,+0:55
4,,12,BRAIDOT Luca,,,+1:23
5,,8,CINK Ondrej,,,+1:37
6,,10,MAROTTE Maxime,,,+1:37
7,,20,COLOMBO Filippo,,,+2:12
8,,38,COLLEDANI Nadir,,,+2:29
9,,1,SCHURTER Nino,,,+2:33
10,,2,AVANCINI Henrique,,,+2:49
11,,14,DASCALU Vlad,,,+2:52
12,,16,BRANDL Maximilian,,,+3:14
13,,17,VALERO SERRANO David,,,+3:20
14,,9,KORETZKY Victor,,,+3:21
15,,70,TABACCHI Mirko,,,+3:36
16,,34,McCONNELL Daniel,,,+3:40
17,,3,KERSCHBAUMER Gerhard,,,+3:51
18,,29,BRAIDOT Daniele,,,+3:55
19,,46,MANTECON GUTIERREZ Sergio,,,+4:01
20,,15,FORSTER Lars,,,+4:12
21,,48,VASTL Jan,,,+4:19
22,,30,FINI CARSTENSEN Sebastian,,,+4:27
23,,6,VADER Milan,,,+4:27
24,,67,SCHELB Julian,,,+5:04
25,,36,HARING Martin,,,+5:07
26,,18,BOUCHARD Leandre,,,+5:08
27,,27,GRIOT Thomas,,,+5:21
28,,23,STIRNEMANN Matthias,,,+5:50
29,,21,SWENSON Keegan,,,+6:00
30,,75,LUKASIK Krzysztof,,,+6:25
31,,78,de FROIDMONT Pierre,,,+6:26
32,,26,ANDREASSEN Simon,,,+6:45
33,,40,GOTARDELO MULLER Guilherme,,,+7:01
34,,45,FOIDL Maximilian,,,+7:12
35,,47,COLOMA NICOLAS Carlos,,,+7:20
36,,49,COCUZZI Luiz Henrique,,,+7:30
37,,55,CASTANEDA MONSALVE Fabio Hernando,,,+7:31
38,,56,L'ESPERANCE Andrew,,,+7:34
39,,32,SINTSOV Anton,,,+7:44
40,,37,DISERA Peter,,,+7:46
41,,24,COOPER Anton,,,+8:03
42,,43,SKARNITZL Jan,,,+8:04
43,,41,RAGGL Gregor,,,+8:14
44,,76,CLACHERTY Frazer,,,+8:26
45,,42,FLUECKIGER Lukas,,,+8:47
46,,28,FRISCHKNECHT Andri,,,+8:50
47,,13,HATHERLY Alan,,,+8:50
48,,63,BOTERO VILLEGAS Jhonatan,,,+8:51
49,,62,TITARENKO Dmytro,,,+9:05
50,,61,NAGLIC Rok,,,+9:16
51,,81,FORTIER Marc Andre,,,+9:37
52,,51,SCHWARZBAUER Luca,,,+9:52
53,,80,DELICH PARDO Nicolas,,,+10:07
54,,64,ULIK Matej,,,+10:29
55,,91,KOBES Lukas,,,+10:29
56,,39,EGGER Georg,,,+11:01
57,,79,AUCLAIR Raphael,,,-1LAP
58,,73,HELTA Filip,,,-1LAP
59,,35,LITSCHER Thomas,,,-1LAP
60,,86,COSTA Fabian,,,-1LAP
61,,60,LOO Martin,,,-1LAP
62,,57,HAIMY Shlomi,,,-1LAP
63,,95,WIMMER Florian,,,-1LAP
64,,97,EMBACHER Armin,,,-1LAP
65,,87,GAZE Samuel,,,-2LAP
66,,84,QUESADA CASTILLO Jonathan Josue,,,-2LAP
67,,77,BSCHERER Moritz,,,-2LAP
68,,74,MOLNAR Ede-Karoly,,,-2LAP
69,,66,PALUMBY Zsombor,,,-2LAP
70,,65,FILATOV Ivan,,,-2LAP
71,,82,FONSECA URENA Andrey,,,-3LAP
72,,83,LOGIGAN Lucian,,,-3LAP
73,,92,MESTRIC Matija,,,-3LAP
74,,71,de REZENDE JUNIOR Edson Gilmar,,,-3LAP
75,,89,MIRANDA JAIME Jaime,,,-3LAP
76,,72,KOZLOVSKYY Volodymyr,,,-3LAP
77,,93,ALEKSIEV Aleksandar,,,-3LAP
78,,88,OMARSSON Ingvar,,,-3LAP
79,,94,HERNANDEZ de JESUS Jose Aurelio,,,-3LAP
80,,54,SESSLER Guy,,,-4LAP
81,,101,HERRERA Luis Mariano,,,-4LAP
82,,100,MIRANDA JAIME Carlos,,,-4LAP
83,,85,MAKAE Tumelo,,,-4LAP
84,,98,COCUZZI Juliano,,,-4LAP
85,,96,ANGELOV Lachezar,,,-4LAP
-,,44,RODRIGUEZ GUEDE Pablo,,,DNF5
-,,19,ULLOA AREVALO Jose Gerardo,,,DNF4
-,,7,TEMPIER Stephane,,,DNF3
-,,22,WAWAK Bartlomiej,,,DNF2
-,,25,FUMIC Manuel,,,DNS
-,,31,MARKT Karl,,,DNS
-,,52,BLUMS Martins,,,DNS