rank,name,time
1,van VLEUTEN Annemiek,4:06:05
2,van der BREGGEN Anna,04:08:20
3,SPRATT Amanda,04:08:33
4,DYGERT Chloe,04:09:29
5,LONGO BORGHINI Elisa,04:10:50
6,VOS Marianne,04:11:25
7,BASTIANELLI Marta,04:11:25
8,MOOLMAN-PASIO Ashleigh,04:11:25
9,BRENNAUER Lisa,04:11:25
10,RIVERA Coryn,04:11:25
11,MAJERUS Christine,04:11:25
12,SIERRA Arlenis,04:11:25
13,DIDERIKSEN Amalie,04:11:25
14,de VUYST Sofie,04:11:25
15,FAHLIN Emilia,04:11:25
16,JACKSON Alison,04:11:25
17,CORDON RAGOT Audrey,04:11:25
18,AMIALIUSIK Alena,04:11:25
19,PIETERS Amy,04:11:25
20,PATINO BEDOYA Paula Andrea,04:11:25
21,CHABBEY Elise,04:11:25
22,HENDERSON Anna,04:11:25
23,NIEWIADOMA Katarzyna,04:11:25
24,CECCHINI Elena,04:11:25
25,GARCIA CANELLAS Margarita Victo,04:11:25
26,SANTESTEBAN GONZALEZ Ane,04:11:25
27,HOSKING Chloe,04:11:25
28,BRAND Lucinda,04:11:25
29,ANDERSEN Susanne,04:11:25
30,LUDWIG Cecilie Uttrup,04:11:25
31,DEIGNAN Elizabeth,04:11:25
32,GUDERZO Tatiana,04:11:25
33,MACKAIJ Floortje,04:11:25
34,REUSSER Marlen,04:11:36
35,MERINO CORTAZAR Eider,04:11:36
36,BIANNIC Aude,04:11:36
37,NOSKOVA Nikola,04:11:36
38,THOMAS Leah,04:11:36
39,CHAPMAN Brodie,04:11:36
40,AALERUD Katrine,04:11:41
41,KENNEDY Lucy,04:11:43
42,POIDEVIN Sara,04:11:43
43,BLAAK Chantal,04:11:43
44,WILES Tayler,04:11:43
45,BUJAK Eugenia,04:11:51
46,CANUEL Karol-Ann,04:11:56
47,BALSAMO Elisa,04:12:01
48,KOPPENBURG Clara,04:12:30
49,KLEIN Lisa,04:12:48
50,PALADIN Soraya,04:13:07
51,HEINE Vita,04:14:54
52,CHURSINA Anastasiia,04:15:00
53,NOVOLODSKAYA Maria,04:15:07
54,SHARAKOVA Tatsiana,04:15:56
55,SHEKEL Olha,04:15:56
56,VOLLERING Demi,04:15:56
57,NORDEN Lisa,04:15:58
58,van de WINKEL Joanna,04:15:58
59,HARRIS Ella,04:15:59
60,SHAPIRA Omer,04:15:58
61,LETH Julie,04:15:58
62,BARNES Hannah,04:15:58
63,BARNES Alice,04:15:58
64,JASINSKA Malgorzata,04:15:58
65,LABOUS Juliette,04:15:58
66,LIPPERT Liane,04:15:58
67,WINDER Ruth,04:15:58
68,MATHIESEN Pernille,04:15:58
69,CAMPBELL Teniel,04:19:00
70,KOCH Franziska,04:19:00
71,HALL Katharine,04:19:00
72,KOLESAVA Anastasiya,04:19:00
73,van den STEEN Kelly,04:19:00
74,OYARBIDE JIMENEZ Lourdes,04:19:55
75,TAZREITER Angelika,04:19:55
76,PATERNOSTER Letizia,04:19:55
77,VANDENBULCKE Jesse,04:24:13
78,MACHACOVA Jarmila,04:25:18
79,LACH Marta,04:26:00
80,JUNIPER Nicola,04:29:52
81,MORENO CANCHON Blanca Liliana,04:29:52
82,BRZEZNA Monika,04:29:52
83,LELEIVYTE Rasa,04:29:52
84,GUTIERREZ ARZALUZ Ariadna,04:29:52
85,ERAUD Severine,04:29:52
86,DUVAL Eugenie,04:29:52
87,SANTOYO PEREZ Brenda Andrea,04:29:52
88,MUZIC Evita,04:29:52
-,CROMWELL Tiffany,DNF
-,PENUELA MARTINEZ Diana Carolina,DNF
-,NORMAN HANSEN Louise,DNF
-,HAMMES Kathrin,DNF
-,ALLEN Jessica,DNF
-,KITCHEN Lauren,DNF
-,GANZAR Leigh Ann,DNF
-,DEMEY Valerie,DNF
-,van de VELDE Julie,DNF
-,BLAIS Marie Soleil,DNF
-,ELLSAY Gillian,DNF
-,PILOTE-FORTIN Gabrielle,DNF
-,NERLO Aurela,DNF
-,PLICHTA Anna,DNF
-,WILKOS Katarzyna,DNF
-,BANKS Elizabeth,DNF
-,GONZALEZ BLANCO Alicia,DNF
-,GUTIERREZ RUIZ Sheyla,DNF
-,KEEP Tiffany,DNF
-,MATTHEE Maroesjka,DNF
-,BORGLI Stine,DNF
-,GASKJENN Ingvild,DNF
-,PRADERA BERNAL Jeydy,DNF
-,MAES Elise,DNF
-,BARRERA ESPARZA Anet,DNF
-,RAMIREZ FREGOSO Andrea,DNF
-,LUNDMARK Clara,DNF
-,NILSSON Hanna,DNF
-,PENTON Sara,DNF
-,PINTAR Urska,DNF
-,ZIGART Urska,DNF
-,KANEKO Hiromi,DNF
-,YONAMINE Eri,DNF
-,KONONENKO Valeriya,DNF
-,OSHURKOVA Elizaveta,DNF
-,KIDANE Desiet,DNF
-,HARVEY Mikayla,DNF
-,GAFINOVITZ Rotem,DNF
-,VARGAS BARRIENTOS Maria Jose,DNF
-,COSTA Alexi,DNF
-,SCHWEINBERGER Kathrin,DNF
-,AHUMADA RIQUELME Denisse,DNF
-,de OLIVEIRA PAPARELLA Flavia Maria,DNF
-,POLEGATCH Ana Paula,DNF
-,NEUMANOVA Tereza,DNF
-,PERINOVIC Maja,DNF
-,RADOTIC Mia,DNF
-,FASOI Varvara,DNF
-,SHARPE Alice,DNF
-,BACIKOVA Alzbeta,DNF
-,MEDVEDOVA Tereza,DNF
-,SAIFUTDINOVA Natalya,DNF
-,UMUTZHANOVA Makhabbat,DNF
-,MARTINS Maria,DNF
-,BJORNSDOTTIR Agusta Edda,DNF
-,DAVIDSON Skye,DNF
-,LANG Mae,DNF
-,GRANIZAL Fabiana,DNF
-,YAPURA Fernanda,DNF
-,ESPINOLA Agua Marina,DNF
-,ALOMAIRI Noura,DNF
-,ALYASEEN Latefa,DNF
-,AU Hoi Ian,DNF
-,HARSCH Anne-Sophie,DNS
